Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Temperature (C)
1682992668.8808265,37.870873,-122.259966,1.0,27.6,0
1682992675.3304632,37.870838,-122.259963,1.5,27.6,0
1682992682.4944296,37.870795,-122.259944,1.0,27.6,0
1682992689.173395,37.870793,-122.259896,1.0,27.6,0
1682992699.8389647,37.87073,-122.259915,1.0,27.6,0
1682992706.7665727,37.870725,-122.259918,1.0,27.6,0
1682992715.2770045,37.87073,-122.259913,1.0,27.6,0
1682992721.8489597,37.870738,-122.259915,1.0,27.6,0
1682992730.6201012,37.870718,-122.259903,1.0,27.6,0
1682992738.052314,37.87074,-122.259903,1.0,27.6,0
1682992746.5072448,37.870749,-122.259909,0.0,27.6,0
1682992753.0781028,37.870738,-122.259921,0.0,27.6,0
1682992760.1379738,37.870743,-122.259928,1.0,27.6,0
1682992766.9442184,37.870725,-122.259899,1.0,27.6,0
