Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Temperature (C)
1682995978.8706105,37.872068,-122.251858,1.5,24.8,0
1682995988.1012833,37.872065,-122.251834,1.0,33.6,0
1682995993.520499,37.871943,-122.251808,1.0,24.4,0
1682995999.9779644,37.871846,-122.252056,1.0,36.6,0
1682996006.566496,37.87163,-122.252061,1.0,28.6,0
1682996012.01897,37.871478,-122.252106,1.0,33.8,0
1682996017.4801383,37.871403,-122.252095,1.0,31.4,0
1682996023.0181015,37.871316,-122.252093,2.0,37.4,0
1682996032.2746334,37.87114,-122.252113,1.0,33.4,0
1682996037.80484,37.8711,-122.251986,2.0,31.0,0
1682996043.3182666,37.871055,-122.25194,2.0,33.2,0
1682996048.7994483,37.870986,-122.251988,2.0,33.0,0
1682996061.8873882,37.87082,-122.251796,2.0,26.6,0
1682996067.8691032,37.870791,-122.251756,2.0,30.2,0
1682996075.1659975,37.870676,-122.251853,2.0,27.2,0
1682996080.8001544,37.870621,-122.251834,2.0,29.4,0
1682996086.4509876,37.870558,-122.251823,2.0,34.0,0
1682996092.7921689,37.870505,-122.251816,2.0,26.2,0
1682996098.4204276,37.870436,-122.251763,2.0,27.6,0
1682996104.0513833,37.870371,-122.251698,3.0,28.2,0
1682996109.649905,37.870278,-122.251721,2.0,27.4,0
1682996115.8918226,37.870231,-122.251686,2.0,26.6,0
1682996121.502266,37.870223,-122.251661,2.0,32.0,0
1682996128.6130874,37.870233,-122.251628,2.0,32.0,0
1682996134.3127227,37.870195,-122.251825,2.0,22.6,0
1682996139.9960485,37.870235,-122.251884,2.0,29.2,0
1682996145.7093198,37.870276,-122.251893,2.0,32.0,0
1682996151.4359376,37.870293,-122.251956,2.0,28.0,0
1682996157.1959643,37.870343,-122.252063,1.0,28.6,0
1682996162.9743407,37.870385,-122.25212,1.0,32.4,0
1682996168.7037787,37.870433,-122.252145,1.0,35.4,0
1682996174.513714,37.87052,-122.252261,1.0,34.6,0
1682996183.4847953,37.87058,-122.252281,2.0,25.8,0
1682996189.291337,37.870661,-122.252298,2.0,29.6,0
1682996195.0870516,37.870796,-122.252316,1.0,30.2,0
1682996200.80503,37.870845,-122.252411,1.5,27.8,0
1682996206.618206,37.870881,-122.252441,2.0,29.0,0
1682996212.4329684,37.870956,-122.252436,1.5,32.6,0
1682996221.197665,37.871053,-122.252433,1.0,35.0,0
1682996228.5322802,37.871135,-122.252454,1.0,33.6,0
1682996234.4042263,37.871201,-122.252473,1.0,32.0,0
1682996240.2645502,37.871341,-122.252521,1.0,33.6,0
1682996246.411267,37.871383,-122.252523,1.0,32.6,0
1682996252.2921138,37.871405,-122.25256,1.0,32.4,0
1682996258.5212464,37.87143,-122.252653,2.0,29.2,0
1682996264.405653,37.871418,-122.252749,2.0,28.8,0
1682996270.5595138,37.87144,-122.252878,2.0,34.2,0
1682996276.5933373,37.871465,-122.252928,2.0,27.8,0
1682996282.578189,37.871499,-122.253043,2.0,30.0,0
1682996288.7130396,37.871536,-122.253103,2.0,33.6,0
1682996294.7350824,37.871488,-122.253176,2.0,36.0,0
1682996300.7749095,37.871511,-122.253293,1.0,30.2,0
1682996306.7393034,37.871535,-122.253348,1.0,33.4,0
1682996312.855766,37.871521,-122.253355,0.0,36.6,0
1682996324.509758,37.871521,-122.253355,1.0,32.2,0
1682996330.5858138,37.871521,-122.253355,1.0,42.6,0
1682996336.6816967,37.871521,-122.253355,1.0,39.6,0
1682996347.3742998,37.872135,-122.252925,1.0,37.4,0
1682996353.4137907,37.872135,-122.252925,1.0,32.8,0
1682996368.5687783,37.872344,-122.252886,2.0,34.2,0
1682996374.6549962,37.872281,-122.253093,2.0,34.6,0
