Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Radiation Bi (cps),Radiation K (cps),Radiation Tl (cps),Temperature (C)
1682114850.6927016,0,0,2.5,38.4,1.0,0.2,0.0,0
1682114856.2163458,0,0,3.0,42.8,1.2,0.4,0.0,0
1682114863.0178986,0,0,3.0,41.2,0.6,0.2,0.0,0
1682114868.6413693,0,0,4.0,40.4,0.8,0.2,0.0,0
1682114874.2395613,0,0,4.0,42.0,0.2,0.6,0.0,0
1682114879.8487718,0,0,4.0,46.8,1.2,0.6,0.2,0
1682114885.5029569,0,0,4.0,43.2,0.6,0.2,0.2,0
1682114896.0201528,0,0,4.0,42.4,0.4,0.2,0.0,0
1682114901.6971235,0,0,4.0,49.2,0.4,1.4,0.0,0
1682114907.4368725,0,0,4.0,46.8,1.2,0.2,0.0,0
1682114913.169062,0,0,4.0,41.8,0.8,0.4,0.0,0
1682114918.9798083,0,0,4.0,39.2,1.2,0.2,0.0,0
1682114924.7774181,0,0,4.0,45.4,0.8,0.4,0.0,0
1682114930.595549,0,0,3.0,48.0,0.8,0.2,0.0,0
1682114937.985419,0,0,3.0,43.0,0.6,0.2,0.2,0
1682114943.864488,0,0,4.0,46.8,1.0,0.4,0.0,0
1682114949.712255,0,0,3.5,37.6,1.6,0.0,0.0,0
1682114955.7427475,0,0,2.5,42.2,1.0,0.2,0.0,0
1682114964.8391538,0,0,4.0,41.6,0.8,0.4,0.4,0
1682114970.8517907,0,0,3.0,38.2,0.6,0.0,0.0,0
1682114977.2390714,0,0,2.5,45.2,2.0,0.2,0.2,0
1682114983.3335798,0,0,3.0,43.0,0.8,0.8,0.0,0
1682114989.7675858,0,0,3.0,46.0,1.2,0.2,0.0,0
1682114995.8863761,0,0,3.0,45.0,1.2,0.2,0.0,0
1682115001.9805536,0,0,4.0,45.0,1.2,0.2,0.0,0
1682115008.047384,0,0,3.5,45.0,1.2,0.2,0.0,0
