time,PM1.0,PM2.5,PM10,temperature,gas,relative humility,pressure,altitude
1676678401,0,1,1,22.2704296875,53300,17.480112500445323,1006.6608513435192,55.0041662262249
1676678402,0,1,1,22.2899609375,8814,17.46165678346802,1006.6652368930994,54.9674601977517
1676678403,0,1,1,22.3315625,12131,17.43948112831447,1006.6764304938508,54.87377295375701
1676678404,0,2,2,22.373359375,14024,17.397852552823547,1006.6810579738981,54.835042512722275
1676678406,0,2,2,22.4094921875,15261,17.351075010762766,1006.6953472462218,54.71544705186698
1676678407,0,2,2,22.4415234375,16193,17.304097905151355,1006.6977753543345,54.69512490040546
1676678408,0,1,1,22.469453125,17064,17.252062123192495,1006.698661975974,54.6877042937437
1676678409,0,1,1,22.4940625,17774,17.1998733622912,1006.7010040362973,54.668102374404114
1676678410,0,1,1,22.5141796875,18463,17.17175758292342,1006.6994492600155,54.68111510055793
1676678412,0,1,1,22.531171875,18863,17.143486352229665,1006.6996709404976,54.679259741050075
1676678413,0,1,1,22.5471875,19459,17.129737275662702,1006.6982969593814,54.690759310529224
1676678414,0,1,1,22.5596875,19979,17.096388594123933,1006.6929022849571,54.735910296582865
1676678415,0,1,1,22.5723828125,20407,17.067911360877854,1006.692986251282,54.73520753490296
1676678416,1,2,2,22.5837109375,20896,17.053928681793295,1006.6942779842896,54.724396296499435
1676678418,1,2,2,22.5940625,21365,17.02048812015789,1006.6939748983199,54.72693299205029
1676678419,0,2,2,22.6034375,21674,17.02096521150026,1006.697237977687,54.69962249309966
1676678420,0,2,2,22.6110546875,22156,17.006797501921028,1006.6976310801941,54.69633240768951
1676678421,0,2,2,22.61828125,22417,16.997462297203754,1006.6956658855339,54.7127801846799
1676678422,0,2,2,22.6255078125,22833,16.98327682760736,1006.6988615142487,54.686034252840564
1676678424,0,2,2,22.6321484375,23161,16.954513542141207,1006.6976596745714,54.696093086072736
1676678425,0,1,1,22.639375,23578,16.940332313412394,1006.7008549477862,54.66935017248987
1676678426,0,1,1,22.6458203125,24007,16.930961362898405,1006.6993338524394,54.68208100684642
1676678427,0,1,1,22.651875,24286,16.9070271705508,1006.698895303122,54.685751455997
1676678428,0,1,1,22.6575390625,24542,16.8976187227091,1006.7012598136025,54.66596164351952
1676678429,0,1,1,22.6626171875,24891,16.883334305857694,1006.7078291117103,54.61097998383099
1676678431,0,1,1,22.6673046875,25327,16.87872450698592,1006.7034378599026,54.64773247961428
1676678432,0,1,1,22.67296875,25512,16.869317739722067,1006.7075225697826,54.613545576262275
1676678433,0,2,2,22.67765625,25795,16.869554530535158,1006.7014105255887,54.664700258148855
1676678434,0,2,2,22.682734375,26068,16.855272702589403,1006.7010975010049,54.667320120486664
1676678435,0,2,2,22.6864453125,26429,16.836078245447634,1006.6968320543283,54.70301988417774
1676678437,0,0,0,22.6909375,26682,16.83630479350096,1006.6955623243183,54.713646945221164
1676678438,0,0,0,22.6958203125,26904,16.831706000029115,1006.6914890235147,54.74773868832321
1676678439,0,0,0,22.7003125,27254,16.836777624099703,1006.6919396149183,54.743967430193905
1676678440,0,0,0,22.7040234375,27415,16.817585396475685,1006.6962765798426,54.70766895093235
1676678441,0,0,0,22.7075390625,27723,16.817762544221353,1006.6985741327934,54.68843949966897
1676678443,0,0,0,22.71125,28019,16.81794954065057,1006.699469878883,54.680942530490945
1676678444,0,0,0,22.71515625,28057,16.803613567265415,1006.6989637851528,54.685178293893905
1676678445,0,0,0,22.7184765625,28284,16.78440638657349,1006.711266079865,54.582214436900955
1676678446,0,0,0,22.72140625,28515,16.789397088022326,1006.7108864709863,54.5853915520471
1676678447,0,0,0,22.72609375,28849,16.789632964248703,1006.7150967828674,54.55015363797346
1676678449,0,0,0,22.729609375,29149,16.78496644960893,1006.7173941714402,54.530925853534356
1676678450,0,0,0,22.7337109375,29272,16.790016288037844,1006.7154860108297,54.54689602748513
1676678451,0,0,0,22.73859375,29561,16.770889077407027,1006.7165736582448,54.537793059917675
1676678452,0,0,0,22.7430859375,29686,16.766272153209826,1006.710140885468,54.591631690910965
1676678453,1,1,1,22.747578125,29877,16.756812904026226,1006.7174734532824,54.53026231200723
1676678455,1,1,1,22.7512890625,30134,16.752157085099498,1006.7149273017238,54.551572096375736
1676678456,1,1,1,22.7544140625,30397,16.766841601428183,1006.7079832352034,54.609690052638946
1676678457,1,1,1,22.756953125,30731,16.77181220548405,1006.7138483784272,54.5606020601413
1676678458,0,0,0,22.76046875,30686,16.767145989628258,1006.717866110344,54.52697600825567
1676678459,0,0,0,22.761640625,31096,16.767204905721982,1006.7128960188426,54.56857276537424
1676678461,0,0,0,22.7641796875,31211,16.757647071207725,1006.7135989639087,54.56268951647246
1676678462,0,0,0,22.7673046875,31305,16.75780410727173,1006.7152582838786,54.54880196880581
1676678463,0,0,0,22.769453125,31588,16.757912072572275,1006.7153235830546,54.54825545287772
1676678464,0,0,0,22.7719921875,31803,16.75319713466131,1006.7143057033127,54.55677451448298
1676678465,0,0,0,22.7766796875,31731,16.77280427667649,1006.7099114779627,54.59355170573803
1676678466,0,0,0,22.7817578125,31900,16.81181338150469,1006.7130377941737,54.567386186520565
1676678468,0,0,0,22.785859375,32022,16.860481327933897,1006.7128492926427,54.56896383710995
1676678469,0,1,1,22.789375,32244,16.913990658459877,1006.709983543854,54.59294855376635
1676678470,1,2,2,22.7925,32494,16.95295170667873,1006.7116425600472,54.57906350815712
