Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Temperature (C)
1682993446.7728162,0,0,2.0,32.6,0
1682993452.2606192,0,0,2.0,35.0,0
1682993457.7932198,0,0,2.0,24.2,0
1682993463.2950597,0,0,2.0,29.6,0
1682993479.7418222,37.870431,-122.25917,3.0,31.4,0
1682993486.3168175,37.870496,-122.259213,3.0,26.2,0
1682993491.8484752,37.87048,-122.25913,3.0,33.8,0
1682993501.0168939,37.87043,-122.259105,2.0,38.0,0
1682993506.4847217,37.870371,-122.259096,2.0,37.6,0
1682993513.996392,37.870253,-122.259008,1.0,36.6,0
1682993519.6525033,37.87025,-122.259031,1.0,33.6,0
1682993526.4668124,37.870235,-122.259053,1.0,37.4,0
1682993532.0981572,37.870196,-122.25906,1.0,37.2,0
1682993537.6964219,37.870196,-122.25906,1.0,39.4,0
1682993544.3031368,37.870196,-122.25906,1.0,29.2,0
1682993551.4461963,37.870196,-122.25906,1.0,30.2,0
1682993557.8145065,37.870196,-122.25906,1.0,32.8,0
1682993566.408721,37.870196,-122.25906,1.5,38.6,0
1682993572.022319,37.869143,-122.259185,2.0,32.0,0
1682993583.7271054,37.869343,-122.259309,2.0,35.2,0
1682993589.370022,37.869476,-122.259375,2.0,32.8,0
1682993594.958527,37.869756,-122.25938,2.0,35.6,0
1682993600.5998638,37.869925,-122.259411,2.0,36.8,0
1682993606.9875844,37.86997,-122.25946,2.0,40.6,0
1682993612.6949794,37.870053,-122.259551,2.0,45.2,0
1682993620.2491426,37.870123,-122.259546,3.0,45.0,0
1682993626.0423677,37.870181,-122.259553,3.0,37.6,0
1682993632.2148852,37.870295,-122.259526,1.0,40.8,0
1682993639.0310311,37.870258,-122.259529,1.0,37.8,0
1682993644.8507361,37.870248,-122.25954,1.0,40.6,0
1682993652.7756002,37.870205,-122.259575,1.0,42.2,0
1682993658.5604408,37.870113,-122.259686,1.0,33.4,0
1682993665.9145422,37.87011,-122.259706,2.0,33.0,0
1682993671.7415497,37.870103,-122.259701,2.0,31.0,0
1682993677.6398566,37.870118,-122.259726,2.5,38.8,0
1682993685.923778,37.870118,-122.259748,3.0,36.0,0
1682993693.336976,37.870088,-122.259793,3.0,37.6,0
1682993699.154461,37.870089,-122.259801,3.0,32.2,0
1682993704.945521,37.87008,-122.259848,3.0,37.6,0
1682993710.787565,37.870133,-122.259833,3.0,33.6,0
1682993716.60716,37.870153,-122.259876,3.0,41.2,0
1682993724.8440025,37.870181,-122.259866,2.0,35.4,0
1682993733.2971702,37.87015,-122.259865,2.0,41.6,0
1682993739.18257,37.870139,-122.259845,1.0,34.4,0
1682993746.3607678,37.870106,-122.259861,1.0,40.6,0
1682993752.3910003,37.870115,-122.259865,2.0,30.4,0
1682993758.7467964,37.870151,-122.259868,2.0,35.8,0
1682993765.5887723,37.870153,-122.259874,2.0,35.4,0
1682993774.3440118,37.870181,-122.259824,2.0,35.6,0
1682993780.3693218,37.870176,-122.259838,2.0,33.4,0
1682993788.716316,37.870166,-122.259838,2.0,30.8,0
1682993794.9228523,37.870111,-122.259809,2.0,37.0,0
1682993800.9038725,37.870039,-122.259824,3.0,30.8,0
1682993807.0600672,37.870035,-122.259816,3.0,29.4,0
1682993813.0608225,37.870073,-122.259675,1.0,33.2,0
1682993820.503714,37.87007,-122.259629,1.0,35.8,0
1682993826.5329387,37.870038,-122.259614,2.0,36.4,0
1682993832.5688787,37.869983,-122.259563,2.0,38.0,0
1682993838.657077,37.869895,-122.259525,2.0,37.8,0
1682993844.6926367,37.869848,-122.259528,2.0,31.2,0
1682993850.8176959,37.869806,-122.259513,2.0,31.6,0
1682993856.868952,37.869763,-122.259448,2.0,37.4,0
1682993864.9384937,37.869685,-122.259426,2.5,38.4,0
1682993871.0300262,37.869651,-122.25941,3.0,35.6,0
1682993883.650117,37.869531,-122.259355,3.0,36.2,0
1682993889.7860582,37.8695,-122.259338,3.0,38.8,0
1682993898.0509663,37.869483,-122.259299,3.0,39.8,0
1682993904.3112361,37.869413,-122.259238,3.0,41.2,0
